band,sex,primary_dose,secondary_dose,year,population,quantity7,eyetot7,quantity14,eyetot14,quantity21,eyetot21,quantity28,eyetot28,quantity35,eyetot35,dppi40,quantity40,eyetot40,dppi41,quantity41,eyetot41,quantity46,eyetot46,quantity49,eyetot49,quantity56,eyetot56,quantity63,eyetot63,prim_maxeye,prim_maxload,prim_resist,prim_resist10,prim_toleye,prim_inf,presid_old,sec_maxeye,sec_maxload,sec_resist,sec_resist10,sec_toleye,sec_inf,sresid_old
975,m,0,300,2021,az,0,0,NA,0,NA,0,NA,0,NA,0,NA,NA,NA,41,0,0,9.145414505,0,234151.1516,1,0,0,NA,NA,0,0,0,0,0,0,NA,1,234151.1516,234151.1516,5.369498153,1,1,0.32365116
976,f,750,300,2021,az,118632.203,1.5,NA,3,NA,2.5,NA,0.5,NA,0,NA,NA,NA,41,0,0,0,0,3.322123325,0,0.776413252,0,NA,NA,3,118632.203,118632.203,5.074206256,3,1,-0.092877476,0,3.322123325,3.322123325,0.635697155,0,0,NA
979,m,750,0,2022,az,72193.45594,1,3840.823384,2.5,NA,1.5,NA,2,NA,0.5,40,11.62982159,0,41,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,2.5,72193.45594,72193.45594,4.858503848,2.5,1,-0.04017403,NA,NA,NA,NA,NA,NA,NA
980,m,0,7000,2021,az,0,0,NA,0,NA,0,NA,0,NA,0,NA,NA,NA,41,0,0,2132.87581,0,398920.4051,2,41.96794289,2,NA,NA,0,0,0,0,0,0,NA,2,398920.4051,398920.4051,5.60088734,2,1,0.187046826
981,m,750,0,2022,az,0,0,0,0,NA,0,NA,0,NA,0,40,4.933895236,0,41,NA,0,0,0,0,NA,0,0,NA,NA,0,4.933895236,0,0,0,0,NA,0,0,0,0,0,0,NA
983,f,0,100,2022,az,0,0,0,0,NA,0,NA,0,NA,0,40,0,0,41,NA,0,0,0,30187.865,NA,0,0,NA,NA,0,0,0,0,0,0,NA,0,30187.865,30187.865,4.479846785,0,1,0.377243727
991,m,750,300,2022,az,0,0,0,0,NA,0,NA,0,NA,0,40,0,0,41,NA,0,0,0,0,NA,0,0,NA,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA
992,f,750,300,2022,az,0,0,0,0,NA,0,NA,0,NA,0,40,0,0,41,NA,0,0,0,0,NA,0,0,NA,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA
995,f,0,7000,2021,az,0.548124797,0,NA,0,NA,0,NA,0,NA,0,NA,NA,NA,41,0,0,69529.35276,0,65762.95815,2,49.74089941,1,NA,NA,0,0.548124797,0.548124797,0.189805967,0,0,NA,2,69529.35276,65762.95815,4.817987944,2,1,0.086011379
1000,f,0,300,2022,az,0,0,0,0,NA,0,NA,0,NA,0,40,0,0,41,NA,0,0,0,0,NA,0.5800625,0,NA,NA,0,0,0,0,0,0,NA,0,0.5800625,0,0,0,0,NA
