"band","sex","primary_dose","secondary_dose","population","dppi46","quantity46","eyetot46","dppi49","quantity49","eyetot49","dppi56","quantity56","eyetot56","dppi63","quantity63","eyetot63","sec_maxeye","sec_maxload","year.x","sec_resist","sec_resist10","sec_toleye","sec_inf","sresid","dppi7","quantity7","eyetot7","dppi14","quantity14","eyetot14","dppi21","quantity21","eyetot21","dppi28","quantity28","eyetot28","dppi35","quantity35","eyetot35","dppi40","quantity40","eyetot40","dppi41","quantity41","eyetot41","year.y","prim_maxeye","prim_maxload","prim_resist","prim_resist10","prim_toleye","prim_inf","presid"
2397,"f","0","300","va",46,0,0,49,0,0,56,0,0,63,0,0,0,0,"2021",0,0,0,0,NA,7,3.616238232,0,15,NA,0,21,NA,0,28,NA,0,35,NA,0,NA,NA,NA,41,0,0,"2021",0,3.616238232,3.616238232,0.664288213530093,0,0,NA
2398,"f","750","300","va",46,0,0,49,0,0,56,0,0,63,1.388314373,0,0,1.388314373,"2021",0,0,0,0,NA,7,0,0,14,NA,0,21,NA,0,28,NA,0,35,NA,0,NA,NA,NA,41,0,0,"2021",0,0,0,0,0,0,NA
2399,"f","750","7000","va",46,11816.44796,0,49,69190.67605,1.5,56,26871.8093,2,63,36.52618992,1,2,69190.67605,"2021",69190.67605,4.84005385077187,2,1,0.088807325426758,7,6.26866657,0,14,NA,0,21,NA,0,28,NA,0,35,NA,0,NA,NA,NA,41,0,0,"2021",0,6.26866657,6.26866657,0.861454747254423,0,0,NA
2411,"m","750","300","va",46,2.86187499,0,49,0,0,56,1.302691477,0,63,0,0,0,2.86187499,"2021",0,0,0,0,NA,7,8.738784313,0,14,NA,0,21,NA,0,28,NA,0,35,NA,0,NA,NA,NA,41,1.613831198,0,"2021",0,8.738784313,8.738784313,0.988504747524682,0,0,NA
2412,"f","750","300","va",46,0,0,49,0,0,56,0,0,63,0,0,0,0,"2021",0,0,0,0,NA,7,0,0,14,NA,0,21,NA,0,28,NA,0,35,NA,0,NA,NA,NA,41,0,0,"2021",0,0,0,0,0,0,NA
2413,"f","750","0","va",46,3.59306602,0,49,3.573206314,0,56,4.388708076,0,63,0,0,0,4.388708076,"2021",3.573206314,0.660220794429139,0,0,NA,7,2349.441783,0,14,NA,0.5,21,NA,2,28,NA,1.5,35,NA,0,NA,NA,NA,41,5.129516912,0,"2021",2,2349.441783,2349.441783,3.37114949881933,0.5,1,0.115893889965332
2415,"f","0","30","va",46,0,0,49,0,0,56,0,0,63,0,0,0,0,"2021",0,0,0,0,NA,7,3.937634269,0,15,NA,0,21,NA,0,28,NA,0,35,NA,0,NA,NA,NA,41,0,0,"2021",0,3.937634269,3.937634269,0.693518918557138,0,0,NA
2416,"m","0","300","va",46,0,0,49,0,0,56,0,0,63,0,0,0,0,"2021",0,0,0,0,NA,7,0.876961662,0,15,NA,0,21,NA,0,28,NA,0,35,NA,0,NA,NA,NA,41,0,0,"2021",0,0.876961662,0.876961662,0.273455402002333,0,0,NA
2417,"m","0","30","va",46,0,0,49,0,0,56,0,0,63,0,0,0,0,"2021",0,0,0,0,NA,7,0.731585688,0,15,NA,0,21,NA,0,28,NA,0,35,NA,0,NA,NA,NA,41,0,0,"2021",0,0.731585688,0.731585688,0.238443987600629,0,0,NA
2418,"m","0","7000","va",46,8128.371877,0,49,146776.72,1.5,56,1333.92608,2.5,63,10.19013338,1,2.5,146776.72,"2021",146776.72,5.16666013721898,2.5,1,0.0473483750981819,7,5.577954107,0,15,NA,0,21,NA,0,28,NA,0,35,NA,0,NA,NA,NA,41,0,0,"2021",0,5.577954107,5.577954107,0.8180908391761,0,0,NA
